,raw,log,category
212,6.37176e-05,-9.661049738415189,9
213,4.623752e-05,-9.981718968256457,9
214,6.315374000000001e-05,-9.669938486851775,9
215,7.344451e-05,-9.518980402862216,9
216,4.666048e-05,-9.972613004240019,9
217,7.33034e-05,-9.520903565427078,9
218,4.736532000000001e-05,-9.957620242616105,9
219,5.8501920000000005e-05,-9.746450983752224,9
220,3.411432e-05,-10.28579332047652,
221,2.45284e-05,-10.615678928074768,
222,2.4528479999999996e-05,-10.61567566655467,
223,2.14272e-05,-10.75084941497142,
224,2.97443e-05,-10.422873040968271,
225,1.9030720000000002e-05,-10.86945604237457,
226,2.52334e-05,-10.587342044184545,
227,6.033442e-05,-9.715607804479031,9
228,4.5532759999999996e-05,-9.997078491083021,9
229,3.214084e-05,-10.345383062339936,
230,0.00012926786,-8.953623872303782,8
231,0.0005455472,-7.513721230311495,7
232,0.00022117924,-8.416537144438346,8
233,0.0008321369999999999,-7.091513467237067,7
234,0.0003135136,-8.067667817652012,8
235,0.0005452651999999999,-7.514238276150508,7
236,0.00013532958,-8.907797421405393,8
237,0.000284192,-8.16586049188818,8
238,7.189378e-05,-9.54032080601973,9
239,6.92154e-05,-9.578287176747148,9
240,3.3268519999999996e-05,-10.310898953443944,
241,2.523332e-05,-10.587345214590705,
242,2.5374300000000002e-05,-10.581773707189726,
243,1.987652e-05,-10.82597142236075,
244,5.1594399999999995e-05,-9.872097418498035,9
245,2.156814e-05,-10.744293332157522,
246,6.32949e-05,-9.667705800780356,9
247,0.0002007386,-8.513506993798416,8
248,0.0001060081682,-9.151994408330493,9
249,0.0003782176,-7.880040866598473,7
250,8.486290000000001e-05,-9.374473544840473,9
251,0.00030519608,-8.094556102673154,8
252,7.668670000000001e-05,-9.475782267495397,9
253,0.00011700360000000002,-9.053305854409112,9
254,3.6651739999999996e-05,-10.214049654633058,
255,4.186758e-05,-10.080998777549611,
256,3.030818e-05,-10.404092914886784,
257,3.0590100000000004e-05,-10.394834130764634,
258,2.1286219999999998e-05,-10.757450642967093,
259,2.3823640000000003e-05,-10.644832192949416,
260,3.101302e-05,-10.38110344165444,
261,2.410556e-05,-10.633068038681872,
262,2.290735e-05,-10.684052738202256,
263,2.28368e-05,-10.687137288070907,
264,2.28368e-05,-10.687137288070907,
