,raw,log,category
74,0.000316474,-8.058269468253625,8
75,0.000322817,-8.038424958766837,8
76,0.000350306,-7.9567034997316695,7
77,0.000304491,-8.096869027901375,8
78,0.000624489,-7.378576842645045,7
79,0.000632947,-7.365123867603547,7
80,0.000549776,-7.505999635423093,7
81,0.000902197,-7.010677658200561,7
82,0.00392597,-5.54014182452232,5
83,0.000764048,-7.1768799435461705,7
84,0.000513829,-7.573620032685885,7
85,0.078988,-2.538459336787074,2
86,0.00364755,-5.613699569642097,5
87,0.00254377,-5.974108046396415,5
88,0.000376385,-7.884898002269234,7
89,0.000340438,-7.985277534123093,7
90,0.000312245,-8.071722421897041,8
91,0.000733035,-7.218317108240761,7
92,0.000396826,-7.832012660506624,7
93,0.000425724,-7.7617193089885355,7
94,0.00030872,-8.08307584073491,8
95,0.000434182,-7.742046756929825,7
96,0.000296738,-8.12266096337133,8
97,0.000537089,-7.529346741620061,7
98,0.0567834,-2.868511249490541,2
99,0.00452085,-5.399055249720419,5
100,0.0354838,-3.3386790246828215,3
101,0.00454905,-5.392836859027988,5
102,0.0056782,-5.17112099788139,5
103,0.00143224,-6.548515626721256,6
104,0.00141462,-6.560894335190026,6
105,0.000373566,-7.892415862174905,7
106,0.000437706,-7.733963105842188,7
107,0.000466605,-7.670027482617813,7
108,0.000367927,-7.907626009038405,7
109,0.000281232,-8.176330606493732,8
110,0.000304491,-8.096869027901375,8
111,0.000241761,-8.327560923114845,8
112,0.000243875,-8.318854759020999,8
113,0.000346782,-7.9668142175190875,7
114,0.00344597,-5.670549846660086,5
115,0.000624489,-7.378576842645045,7
116,0.00265655,-5.930726990492451,5
117,0.00171699,-6.3671825211955815,6
118,0.000711185,-7.248577965100611,7
119,0.00105233,-6.856748525643552,6
120,0.00187135,-6.2810951834445525,6
121,0.000380614,-7.873724819753518,7
122,0.000704136,-7.258539038645255,7
123,0.000165638,-8.705705873737973,8
124,0.000186078,-8.589344617317028,8
125,0.000162818,-8.72287754539714,8
126,0.00035665,-7.9387556492402265,7
127,0.000285461,-8.161405140651013,8
128,0.000367222,-7.909543988158611,7
129,0.000267135,-8.227756409368196,8
130,0.000327751,-8.023256384219094,8
131,0.000269954,-8.21725898385095,8
132,0.000417266,-7.781786649842372,7
133,0.0299212,-3.5091880197282515,3
134,0.00178395,-6.32892527212291,6
135,0.0276996,-3.586337306326321,3
136,0.00197849,-6.22542135148566,6
137,0.00847642,-4.7704670881284095,4
138,0.00115101,-6.767115461182826,6
139,0.00154078,-6.475466497274647,6
140,0.000348896,-7.9607366744403025,7
141,0.000322817,-8.038424958766837,8
142,0.000287575,-8.1540268621822,8
143,0.000293919,-8.132206338789583,8
144,0.000291099,-8.141847142464217,8
145,0.000723872,-7.230895976788849,7
146,0.000188897,-8.574308665001661,8
147,0.000169867,-8.680494780052964,8
148,0.000223435,-8.406390013949732,8
149,0.000611802,-7.399101857210644,7
150,0.000194536,-8.544893322058517,8
151,0.000593476,-7.429513782811384,7
152,0.000342553,-7.979084167708145,7
153,0.00044264,-7.72275375937442,7
154,0.000361584,-7.925016178212825,7
155,0.000218501,-8.428719966780063,8
156,0.00026502,-8.235705263127784,8
157,0.000169162,-8.684653722303844,8
158,0.000229073,-8.381469827916144,8
159,0.000160704,-8.735946394429154,8
160,0.000163523,-8.71855690473758,8
161,0.000239646,-8.33634772350565,8
162,0.000108546,-9.128336511697094,9
163,0.000224844,-8.400103729559898,8
164,0.00028687,-8.156481406495255,8
165,0.000171276,-8.672234267528642,8
166,0.000195241,-8.541275865057194,8
167,0.00203276,-6.1983608034443245,6
168,0.00210748,-6.162262358050256,6
169,0.000321408,-8.042799213869209,8
170,0.00237954,-6.040848087290144,6
171,0.000343258,-7.977028206959966,7
172,0.00136175,-6.598984641700491,6
173,0.000204404,-8.49541213035458,8
174,0.000427134,-7.758412776635798,7
175,0.000213567,-8.451559957195743,8
176,0.000173391,-8.659961398079032,8
177,0.000201585,-8.509299429297137,8
178,0.000149426,-8.808709270955788,8
179,0.000214272,-8.448264321977373,8
180,0.000172686,-8.664035641529004,8
181,0.000255153,-8.27364719273388,8
182,0.000117004,-9.053302435716727,9
183,0.000260791,-8.251791237709686,8
184,0.000128986,-8.95580668662388,8
185,0.000418676,-7.778413206859095,7
186,0.000466605,-7.670027482617813,7
187,0.000148017,-8.818183425931757,8
188,0.000142378,-8.857025065303908,8
189,0.000115594,-9.065426506187197,9
190,0.000130396,-8.94493458378883,8
191,0.000101497,-9.195481316569484,9
192,0.00010925,-9.121871723988574,9
193,0.000148722,-8.813431766551139,8
194,0.000125462,-8.983507634086855,8
195,0.000152951,-8.785392949304393,8
196,0.000391187,-7.846324851439621,7
197,0.000242465,-8.324653187900205,8
198,0.000404579,-7.812663537691829,7
199,0.00028969,-8.146699172252125,8
200,0.000451098,-7.703825947166491,7
201,0.000184668,-8.596950939694558,8
202,0.00022414,-8.403239701340393,8
203,0.000225549,-8.396973127726437,8
204,0.000119823,-9.029494904065595,9
205,9.79729e-05,-9.230819648147587,9
206,0.000117708,-9.047303576594095,9
207,0.000160704,-8.735946394429154,8
208,0.000114889,-9.071544113114598,9
209,0.000102907,-9.181684890227132,9
210,9.51536e-05,-9.260018129940468,9
211,0.000120528,-9.023628466880936,9
212,0.000159294,-8.744759006541035,8
213,0.000149426,-8.808709270955788,8
214,0.000122642,-9.006241015640667,9
215,0.000208633,-8.474933830402318,8
216,0.000108546,-9.128336511697094,9
217,0.000211452,-8.46151253558968,8
218,0.000116299,-9.0593460969289,9
219,0.000216386,-8.438446708094002,8
220,0.000107136,-9.141411502537318,9
221,0.000122642,-9.006241015640667,9
222,9.79729e-05,-9.230819648147587,9
223,0.000107136,-9.141411502537318,9
224,0.000100087,-9.209470750206824,9
